"elem_id","elem_codigo","elem_descripcion","elpr_precio"
53,"001001","BALASTO MERCURIO 250W",NULL
387,"001002","BALASTO MERCURIO 400W",NULL
54,"001003","BALASTO METALAR 1000W",NULL
55,"001004","BALASTO METALAR 400W",NULL
61,"001005","BALASTO SODIO DE 250W",NULL
388,"001006","BALASTO SODIO DE 400W",NULL
62,"001007","BALASTO SODIO DE 70W",NULL
60,"001008","BALASTO SODIO DE 150W",NULL
52,"001009","BALASTO MERCURIO 125W",NULL
57,"001010","BALASTO METALAR DE 250W",NULL
56,"001011","BALASTO METALAR DE 150W",NULL
389,"002001","BOBINA L*1 D4 (USADA)",NULL
390,"002002","BOBINA B65-72 50AMP.",NULL
70,"002003","BOBINA LC1-D40 LX1D6M5 125A.",NULL
391,"002004","BOBINA LC1-D09",NULL
392,"002005","BOBINA B-105-220V",NULL
393,"002006","BOBINA LC1-D25",NULL
67,"002007","BLOQUE CONTACTO 1NA-1NC",NULL
394,"002008","BOBINA AH6-17 220V",NULL
71,"002009","BOBINA LXD1 24V",NULL
395,"002010","BOBINA 3RT1045 125 AMP",NULL
396,"002011","BOBINA 3RT1023 40 AMP",NULL
68,"002012","BOBINA B9-12-16",NULL
397,"002013","BOBINA B32-45-60",NULL
398,"002014","BOBINA BA104 LOVATO",NULL
399,"002015","BOBINA TAIAN CN 11",NULL
400,"002016","BOBINA 50-105 AMP",NULL
69,"002017","BOBINA CONTACTOR 9-25 AMP",NULL
401,"002018","BOBINA CONTACTOR 40-45 AMP",NULL
92,"003001","BOMBILLO SODIO DE 70W PIA PLUS",NULL
402,"003002","BOMBILLO SODIO DE 150W",NULL
90,"003003","BOMBILLO SODIO DE 250W",NULL
403,"003004","BOMBILLO MERCURIO 125W",NULL
404,"003005","BOMBILLO METALARC 400W",NULL
405,"003006","BOMBILLO MH 1000W",NULL
91,"003007","BOMBILLO SODIO DE 400W",NULL
406,"003008","BOMBILLO LUZ MIXTA 160W",NULL
79,"003009","BOMBILLO INCAND. HAL 500W 220V",NULL
407,"003010","BOMBILLO MERCURIO 400W",NULL
408,"003011","BOMBILLO SODIO DE 70W OVOIDE(USADO)",NULL
80,"003012","BOMBILLO INCAND.DE 200-220W",NULL
409,"003015","BOMBILLO MERCURIO 250W",NULL
87,"003016","BOMBILLO METALARC DE 250W",NULL
410,"003017","BOMBILLO SODIO 70W XO GENERAL",NULL
84,"003018","BOMBILLO METALAR 400W COLOR",NULL
411,"003019","BOMBILLO INCANDESCENTE 100W/120V",NULL
83,"003020","BOMBILLO METALAR 250W COLOR",NULL
75,"003021","BOMBILLO AHORRADOR 20W 110V COLOR",NULL
412,"003022","BOMBILLOS COLOR 25W INCANDESC.",NULL
413,"003023","BOMBILLO AHORRADOR 11W AMARILLO",NULL
414,"003024","BOMBILLO EXOTICO INCAND. 40W",NULL
415,"003025","BOMBILLO AHORRADOR 20W CLARO",NULL
76,"003026","BOMBILLO AHORRADOR DE 42 W",NULL
416,"003027","BOMBILLO AHORRADOR DE 27 W",NULL
86,"003028","BOMBILLO METALARC 400W TUBULAR",NULL
417,"003029","BOMBILLO MH 150W DOBLE CONTACTO",NULL
418,"003030","BOMBILLO AHORRADOR DE 45W",NULL
419,"003031","BOMBILLO MH 150W OVOIDE E27",NULL
420,"003032","BOMBILLO SODIO 250W  OSRAM",NULL
81,"003033","BOMBILLO MASTER CDO-TT PLUS 70W",NULL
78,"003034","BOMBILLO CMH 70W STREETWISE",NULL
421,"003035","BOMBILLO CMH 150W TT STREETWISE",NULL
85,"003036","BOMBILLO METALAR DE 70W",NULL
422,"003037","BOMBILLO METALAR 70W OVOIDE",NULL
77,"003038","BOMBILLO AHORRADOR DE 65W",NULL
423,"003039","BOMBILLO AHORRADOR DE 6OW",NULL
424,"003040","BOMBILLO LED 5W",NULL
425,"003041","BOMBILLO MASTER 150W BLANCO",NULL
88,"003042","BOMBILLO MH 150W DOBLE CONTACTO COLOR",NULL
383,"004001","ALAMBRE TW NO. 10",NULL
426,"004002","ALAMBRE TW NO. 12",NULL
104,"004003","CABLE ALUM. AISLADO 2",NULL
427,"004004","ALAMBRE ALUM.AISLADO 8",NULL
428,"004005","CABLE ACSR NO. 4",NULL
113,"004006","CABLE DE CU NO. 4",NULL
117,"004007","CABLE THW NO. 2",NULL
110,"004008","CABLE ASC AISLADO 2/0",NULL
429,"004009","CABLE THW NO. 8",NULL
430,"004010","ALAMBRE THW NO. 12",NULL
431,"004011","ALAMBRE TW 14",NULL
432,"004012","CABLE THW NO.14",NULL
433,"004013","CABLE DUPLEX 2*16",NULL
434,"004014","ALAMBRE ALUMINIO NO.6",NULL
435,"004015","CABLE SILICONADO #14",NULL
436,"004016","CABLE VEHICULO #16",NULL
437,"004017","ALAMBRE CU TW 8",NULL
106,"004018","CABLE ALUMINIO ASC 4",3314.00
102,"004019","CABLE ACERO 1/4",NULL
438,"004020","CABLE ALUMINIO ACSR NO.2",NULL
115,"004021","CABLE DUPLEX 2*12",NULL
439,"004022","CABLE DUPLEX 2*14",NULL
440,"004023","CABLE VEHICULO NO.18",NULL
114,"004024","CABLE DE PODER PARA MANGUERA",NULL
441,"004025","CABLE SILICONADO #16",NULL
108,"004026","CABLE ALUMINIO NO.6 SERIE 8000 AISLADO",3015.00
442,"004027","CABLE DE CU DESNUDO NO.2",NULL
40,"004028","ALAMBRE TELEFONICO 2*22",NULL
111,"004029","CABLE COBRE NO.10",NULL
443,"004030","CABLE COBRE NO.12",NULL
444,"004031","CABLE ENCAUCHETADO 2*12 AWG",NULL
112,"004032","CABLE COBRE NO.6",NULL
103,"004033","CABLE ACSR NO. 2/0",NULL
445,"004034","CABLE ANTIFRAUDE 3+8 * 8",NULL
446,"004035","CABLE CUADRUPLEX 3*4+4 ACSR",NULL
447,"004036","CABLE ENCAUCHETADO 3*14",NULL
109,"004037","CABLE ANTIFRAUDE 2*8+8",NULL
448,"004038","ALAMBRE ALUMINIO NO.8 (ECONOMICO)",NULL
116,"004039","CABLE ENCAUCHETADO 3*12",6298.00
118,"004040","CABLE TRIPLEX 2*4+4 AAC /ACSR AISLADO",8464.00
449,"004041","CABLE TRIPLEX AL 2*6+6 AISLADO",NULL
450,"004042","CABLE COBRE 1/0 AISLADO",NULL
105,"004043","CABLE ALUMINIO 1/0 AISLADO",NULL
451,"004044","CABLE COBRE #2/0  AISLADO",NULL
452,"004045","CABLE QUINTUPLEX 4*4+4",NULL
